# Schottky from phonopy; factor=1.968750000000
# X_S = X_2G + X_cVac - factor * X_nodef
# T[K]  dF_vib[eV]  dU_vib[eV]  E_DFT[eV]  F_Schottky[eV]  U_Schottky[eV]  dS[eV/K]  dS[J/K/mol]  dCv[eV/K]  dCv[J/K/mol]
      0.0000     -0.07641577     -0.07641577      5.04300774      4.96659196      4.96659196  0.00000000e+00      0.00000000  0.00000000e+00      0.00000000
     10.0000     -0.07641564     -0.07641720      5.04300774      4.96659210      4.96659053  -1.56536157e-07     -0.01510344  -4.90270159e-07     -0.04730388
     20.0000     -0.07641160     -0.07642266      5.04300774      4.96659614      4.96658507  -5.53269369e-07     -0.05338238  2.51286014e-07      0.02424542
     30.0000     -0.07641139     -0.07637808      5.04300774      4.96659634      4.96662965  1.11031179e-06      0.10712881  1.11049535e-05      1.07146517
     40.0000     -0.07645010     -0.07614607      5.04300774      4.96655764      4.96686167  7.60071483e-06      0.73335753  3.79490203e-05      3.66152399
     50.0000     -0.07658389     -0.07557517      5.04300774      4.96642385      4.96743256  2.01742793e-05      1.94652213  7.78541841e-05      7.51178715
     60.0000     -0.07687251     -0.07456861      5.04300774      4.96613523      4.96843913  3.83983642e-05      3.70487909  1.23910815e-04     11.95557664
     70.0000     -0.07736641     -0.07309743      5.04300774      4.96564132      4.96991031  6.09854590e-05      5.88420253  1.69893585e-04     16.39223975
     80.0000     -0.07810180     -0.07118547      5.04300774      4.96490593      4.97182226  8.64541513e-05      8.34155788  2.11517182e-04     20.40830647
     90.0000     -0.07910056     -0.06888990      5.04300774      4.96390717      4.97411784  1.13451854e-04     10.94644033  2.46346144e-04     23.76879057
    100.0000     -0.08037223     -0.06628461      5.04300774      4.96263550      4.97672312  1.40876214e-04     13.59248895  2.73389432e-04     26.37807128
    110.0000     -0.08191671     -0.06344810      5.04300774      4.96109102      4.97955963  1.67896441e-04     16.19954462  2.92653500e-04     28.23677143
    120.0000     -0.08372684     -0.06045547      5.04300774      4.95928089      4.98255227  1.93928159e-04     18.71122364  3.04750366e-04     29.40394158
    130.0000     -0.08579069     -0.05737393      5.04300774      4.95721704      4.98563380  2.18590473e-04     21.09077536  3.10599917e-04     29.96833748
    140.0000     -0.08809333     -0.05426087      5.04300774      4.95491440      4.98874687  2.41660466e-04     23.31669141  3.11228420e-04     30.02897886
    150.0000     -0.09061823     -0.05116339      5.04300774      4.95238950      4.99184434  2.63032274e-04     25.37875746  3.07645510e-04     29.68328054
    160.0000     -0.09334824     -0.04811890      5.04300774      4.94965950      4.99488884  2.82683381e-04     27.27480109  3.00777279e-04     29.02059692
    170.0000     -0.09626628     -0.04515608      5.04300774      4.94674146      4.99785166  3.00648232e-04     29.00814583  2.91435940e-04     28.11929476
    180.0000     -0.09935582     -0.04229611      5.04300774      4.94365192      5.00071163  3.16998384e-04     30.58569574  2.80311606e-04     27.04595962
    190.0000     -0.10260117     -0.03955387      5.04300774      4.94040656      5.00345387  3.31827923e-04     32.01652880  2.67976497e-04     25.85580249
    200.0000     -0.10598766     -0.03693905      5.04300774      4.93702008      5.00606868  3.45243031e-04     33.31089003  2.54895457e-04     24.59367393
    210.0000     -0.10950169     -0.03445720      5.04300774      4.93350605      5.00855053  3.57354705e-04     34.47948899  2.41439072e-04     23.29533007
    220.0000     -0.11313078     -0.03211055      5.04300774      4.92987696      5.01089719  3.68273771e-04     35.53301873  2.27897312e-04     21.98874884
    230.0000     -0.11686355     -0.02989879      5.04300774      4.92614419      5.01310894  3.78107635e-04     36.48184234  2.14492524e-04     20.69538336
    240.0000     -0.12068965     -0.02781968      5.04300774      4.92231808      5.01518805  3.86958220e-04     37.33579403  2.01391195e-04     19.43129720
    250.0000     -0.12459975     -0.02586955      5.04300774      4.91840798      5.01713819  3.94920815e-04     38.10406770  1.88714318e-04     18.20816451
    260.0000     -0.12858541     -0.02404370      5.04300774      4.91442233      5.01896404  4.02083498e-04     38.79516161  1.76546279e-04     17.03412716
    270.0000     -0.13263903     -0.02233674      5.04300774      4.91036871      5.02067100  4.08526985e-04     39.41686356  1.64942357e-04     15.91451877
    280.0000     -0.13675379     -0.02074286      5.04300774      4.90625394      5.02226488  4.14324767e-04     39.97626451  1.53934981e-04     14.85246844
    290.0000     -0.14092359     -0.01925600      5.04300774      4.90208415      5.02375173  4.19543414e-04     40.47978747  1.43538893e-04     13.84939834
