# Schottky from phonopy; factor=1.968750000000
# T[K]  dF_vib[eV]  dU_vib[eV]  E_DFT[eV]  F_Schottky[eV]  U_Schottky[eV]
      0.0000     -0.07401147     -0.07401147      5.00989264      4.93588117      4.93588117
     10.0000     -0.07401092     -0.07401296      5.00989264      4.93588172      4.93587968
     20.0000     -0.07400626     -0.07401898      5.00989264      4.93588638      4.93587365
     30.0000     -0.07400490     -0.07397619      5.00989264      4.93588774      4.93591645
     40.0000     -0.07404150     -0.07374865      5.00989264      4.93585114      4.93614399
     50.0000     -0.07417154     -0.07318698      5.00989264      4.93572110      4.93670565
     60.0000     -0.07445401     -0.07219563      5.00989264      4.93543863      4.93769701
     70.0000     -0.07493873     -0.07074549      5.00989264      4.93495390      4.93914715
     80.0000     -0.07566159     -0.06885954      5.00989264      4.93423105      4.94103310
     90.0000     -0.07664429     -0.06659399      5.00989264      4.93324835      4.94329865
    100.0000     -0.07789639     -0.06402197      5.00989264      4.93199625      4.94587067
    110.0000     -0.07941783     -0.06122137      5.00989264      4.93047481      4.94867126
    120.0000     -0.08120156     -0.05826682      5.00989264      4.92869108      4.95162582
    130.0000     -0.08323575     -0.05522512      5.00989264      4.92665689      4.95466752
    140.0000     -0.08550561     -0.05215327      5.00989264      4.92438703      4.95773937
    150.0000     -0.08799474     -0.04909801      5.00989264      4.92189790      4.96079462
    160.0000     -0.09068614     -0.04609642      5.00989264      4.91920649      4.96379621
    170.0000     -0.09356288     -0.04317686      5.00989264      4.91632976      4.96671578
    180.0000     -0.09660857     -0.04036023      5.00989264      4.91328406      4.96953241
    190.0000     -0.09980768     -0.03766115      5.00989264      4.91008496      4.97223149
    200.0000     -0.10314564     -0.03508910      5.00989264      4.90674699      4.97480354
    210.0000     -0.10660903     -0.03264945      5.00989264      4.90328361      4.97724319
    220.0000     -0.11018548     -0.03034428      5.00989264      4.89970715      4.97954835
    230.0000     -0.11386374     -0.02817318      5.00989264      4.89602889      4.98171946
    240.0000     -0.11763360     -0.02613380      5.00989264      4.89225904      4.98375884
    250.0000     -0.12148580     -0.02422240      5.00989264      4.88840683      4.98567024
    260.0000     -0.12541204     -0.02243425      5.00989264      4.88448060      4.98745838
    270.0000     -0.12940481     -0.02076394      5.00989264      4.88048783      4.98912870
    280.0000     -0.13345739     -0.01920561      5.00989264      4.87643525      4.99068703
    290.0000     -0.13756375     -0.01775322      5.00989264      4.87232889      4.99213942
    300.0000     -0.14171848     -0.01640065      5.00989264      4.86817416      4.99349199
    310.0000     -0.14591674     -0.01514180      5.00989264      4.86397589      4.99475083
    320.0000     -0.15015421     -0.01397076      5.00989264      4.85973843      4.99592188
    330.0000     -0.15442699     -0.01288176      5.00989264      4.85546565      4.99701088
    340.0000     -0.15873161     -0.01186928      5.00989264      4.85116103      4.99802335
    350.0000     -0.16306497     -0.01092810      5.00989264      4.84682767      4.99896454
    360.0000     -0.16742427     -0.01005322      5.00989264      4.84246837      4.99983942
    370.0000     -0.17180701     -0.00923998      5.00989264      4.83808562      5.00065266
    380.0000     -0.17621097     -0.00848397      5.00989264      4.83368167      5.00140867
    390.0000     -0.18063412     -0.00778107      5.00989264      4.82925852      5.00211156
    400.0000     -0.18507466     -0.00712746      5.00989264      4.82481798      5.00276518
    410.0000     -0.18953096     -0.00651955      5.00989264      4.82036167      5.00337309
    420.0000     -0.19400158     -0.00595401      5.00989264      4.81589106      5.00393863
    430.0000     -0.19848520     -0.00542776      5.00989264      4.81140744      5.00446487
    440.0000     -0.20298062     -0.00493794      5.00989264      4.80691201      5.00495470
    450.0000     -0.20748680     -0.00448189      5.00989264      4.80240584      5.00541075
    460.0000     -0.21200276     -0.00405715      5.00989264      4.79788988      5.00583548
    470.0000     -0.21652764     -0.00366146      5.00989264      4.79336500      5.00623118
    480.0000     -0.22106065     -0.00329271      5.00989264      4.78883199      5.00659992
    490.0000     -0.22560108     -0.00294896      5.00989264      4.78429156      5.00694367
    500.0000     -0.23014828     -0.00262842      5.00989264      4.77974435      5.00726421
    510.0000     -0.23470169     -0.00232943      5.00989264      4.77519095      5.00756321
    520.0000     -0.23926075     -0.00205044      5.00989264      4.77063188      5.00784220
    530.0000     -0.24382501     -0.00179004      5.00989264      4.76606763      5.00810259
    540.0000     -0.24839401     -0.00154694      5.00989264      4.76149863      5.00834570
    550.0000     -0.25296736     -0.00131990      5.00989264      4.75692527      5.00857274
    560.0000     -0.25754471     -0.00110781      5.00989264      4.75234792      5.00878483
    570.0000     -0.26212572     -0.00090964      5.00989264      4.74776692      5.00898300
    580.0000     -0.26671009     -0.00072442      5.00989264      4.74318254      5.00916822
    590.0000     -0.27129756     -0.00055127      5.00989264      4.73859508      5.00934137
    600.0000     -0.27588785     -0.00038937      5.00989264      4.73400478      5.00950327
    610.0000     -0.28048076     -0.00023795      5.00989264      4.72941187      5.00965468
    620.0000     -0.28507608     -0.00009632      5.00989264      4.72481656      5.00979632
    630.0000     -0.28967360      0.00003619      5.00989264      4.72021904      5.00992883
    640.0000     -0.29427316      0.00016018      5.00989264      4.71561948      5.01005282
    650.0000     -0.29887459      0.00027621      5.00989264      4.71101805      5.01016885
    660.0000     -0.30347775      0.00038481      5.00989264      4.70641489      5.01027745
    670.0000     -0.30808250      0.00048645      5.00989264      4.70181013      5.01037909
    680.0000     -0.31268872      0.00058159      5.00989264      4.69720391      5.01047423
    690.0000     -0.31729630      0.00067065      5.00989264      4.69259634      5.01056329
