# Schottky formation entropy from phonopy; factor=1.968750000000
# X_S = X_2G + X_cVac - factor * X_nodef  (X = entropy)
# T[K]  dS_vib[eV/K]  dS_vib[J/K/mol]
      0.0000  0.00000000e+00      0.00000000
     10.0000  -1.56536157e-07     -0.01510344
     20.0000  -5.53269369e-07     -0.05338238
     30.0000  1.11031179e-06      0.10712881
     40.0000  7.60071483e-06      0.73335753
     50.0000  2.01742793e-05      1.94652213
     60.0000  3.83983642e-05      3.70487909
     70.0000  6.09854590e-05      5.88420253
     80.0000  8.64541513e-05      8.34155788
     90.0000  1.13451854e-04     10.94644033
    100.0000  1.40876214e-04     13.59248895
    110.0000  1.67896441e-04     16.19954462
    120.0000  1.93928159e-04     18.71122364
    130.0000  2.18590473e-04     21.09077536
    140.0000  2.41660466e-04     23.31669141
    150.0000  2.63032274e-04     25.37875746
    160.0000  2.82683381e-04     27.27480109
    170.0000  3.00648232e-04     29.00814583
    180.0000  3.16998384e-04     30.58569574
    190.0000  3.31827923e-04     32.01652880
    200.0000  3.45243031e-04     33.31089003
    210.0000  3.57354705e-04     34.47948899
    220.0000  3.68273771e-04     35.53301873
    230.0000  3.78107635e-04     36.48184234
    240.0000  3.86958220e-04     37.33579403
    250.0000  3.94920815e-04     38.10406770
    260.0000  4.02083498e-04     38.79516161
    270.0000  4.08526985e-04     39.41686356
    280.0000  4.14324767e-04     39.97626451
    290.0000  4.19543414e-04     40.47978747
    300.0000  4.24242982e-04     40.93322690
    310.0000  4.28477486e-04     41.34179440
    320.0000  4.32295390e-04     41.71016617
    330.0000  4.35740102e-04     42.04253032
    340.0000  4.38850448e-04     42.34263315
    350.0000  4.41661112e-04     42.61382098
    360.0000  4.44203071e-04     42.85908277
    370.0000  4.46503972e-04     43.08108594
    380.0000  4.48588483e-04     43.28221073
    390.0000  4.50478620e-04     43.46458120
    400.0000  4.52194029e-04     43.63009302
    410.0000  4.53752258e-04     43.78043926
    420.0000  4.55168964e-04     43.91713063
    430.0000  4.56458154e-04     44.04151860
    440.0000  4.57632333e-04     44.15480959
    450.0000  4.58702704e-04     44.25808469
    460.0000  4.59679283e-04     44.35231031
