# Schottky free energy from phonopy; factor=1.968750000000
# X_S = X_2G + X_cVac - factor * X_nodef
# dE_ZPE = -0.07641577 eV
# E_DFT_Schottky = 5.04300774 eV
# T[K]  dF_vib[eV]  E_DFT[eV]  F_Schottky[eV]  dU_vib[eV]  U_Schottky[eV]
      0.0000     -0.07641577      5.04300774      4.96659196     -0.07641577      4.96659196
     10.0000     -0.07641564      5.04300774      4.96659210     -0.07641720      4.96659053
     20.0000     -0.07641160      5.04300774      4.96659614     -0.07642266      4.96658507
     30.0000     -0.07641139      5.04300774      4.96659634     -0.07637808      4.96662965
     40.0000     -0.07645010      5.04300774      4.96655764     -0.07614607      4.96686167
     50.0000     -0.07658389      5.04300774      4.96642385     -0.07557517      4.96743256
     60.0000     -0.07687251      5.04300774      4.96613523     -0.07456861      4.96843913
     70.0000     -0.07736641      5.04300774      4.96564132     -0.07309743      4.96991031
     80.0000     -0.07810180      5.04300774      4.96490593     -0.07118547      4.97182226
     90.0000     -0.07910056      5.04300774      4.96390717     -0.06888990      4.97411784
    100.0000     -0.08037223      5.04300774      4.96263550     -0.06628461      4.97672312
    110.0000     -0.08191671      5.04300774      4.96109102     -0.06344810      4.97955963
    120.0000     -0.08372684      5.04300774      4.95928089     -0.06045547      4.98255227
    130.0000     -0.08579069      5.04300774      4.95721704     -0.05737393      4.98563380
    140.0000     -0.08809333      5.04300774      4.95491440     -0.05426087      4.98874687
    150.0000     -0.09061823      5.04300774      4.95238950     -0.05116339      4.99184434
    160.0000     -0.09334824      5.04300774      4.94965950     -0.04811890      4.99488884
    170.0000     -0.09626628      5.04300774      4.94674146     -0.04515608      4.99785166
    180.0000     -0.09935582      5.04300774      4.94365192     -0.04229611      5.00071163
    190.0000     -0.10260117      5.04300774      4.94040656     -0.03955387      5.00345387
    200.0000     -0.10598766      5.04300774      4.93702008     -0.03693905      5.00606868
    210.0000     -0.10950169      5.04300774      4.93350605     -0.03445720      5.00855053
    220.0000     -0.11313078      5.04300774      4.92987696     -0.03211055      5.01089719
    230.0000     -0.11686355      5.04300774      4.92614419     -0.02989879      5.01310894
    240.0000     -0.12068965      5.04300774      4.92231808     -0.02781968      5.01518805
    250.0000     -0.12459975      5.04300774      4.91840798     -0.02586955      5.01713819
    260.0000     -0.12858541      5.04300774      4.91442233     -0.02404370      5.01896404
    270.0000     -0.13263903      5.04300774      4.91036871     -0.02233674      5.02067100
    280.0000     -0.13675379      5.04300774      4.90625394     -0.02074286      5.02226488
    290.0000     -0.14092359      5.04300774      4.90208415     -0.01925600      5.02375173
    300.0000     -0.14514293      5.04300774      4.89786480     -0.01787004      5.02513770
    310.0000     -0.14940690      5.04300774      4.89360083     -0.01657888      5.02642885
    320.0000     -0.15371109      5.04300774      4.88929664     -0.01537657      5.02763117
    330.0000     -0.15805157      5.04300774      4.88495617     -0.01425733      5.02875040
    340.0000     -0.16242478      5.04300774      4.88058295     -0.01321563      5.02979210
    350.0000     -0.16682758      5.04300774      4.87618016     -0.01224619      5.03076155
    360.0000     -0.17125711      5.04300774      4.87175063     -0.01134400      5.03166373
    370.0000     -0.17571083      5.04300774      4.86729690     -0.01050437      5.03250337
    380.0000     -0.18018647      5.04300774      4.86282127     -0.00972284      5.03328489
    390.0000     -0.18468196      5.04300774      4.85832578     -0.00899530      5.03401244
    400.0000     -0.18919546      5.04300774      4.85381228     -0.00831785      5.03468989
    410.0000     -0.19372531      5.04300774      4.84928242     -0.00768689      5.03532085
    420.0000     -0.19827003      5.04300774      4.84473770     -0.00709907      5.03590867
    430.0000     -0.20282827      5.04300774      4.84017947     -0.00655126      5.03645647
    440.0000     -0.20739881      5.04300774      4.83560893     -0.00604058      5.03696715
    450.0000     -0.21198057      5.04300774      4.83102717     -0.00556435      5.03744338
    460.0000     -0.21657255      5.04300774      4.82643518     -0.00512008      5.03788765
    470.0000     -0.22117387      5.04300774      4.82183386     -0.00470548      5.03830226
    480.0000     -0.22578372      5.04300774      4.81722402     -0.00431841      5.03868933
    490.0000     -0.23040136      5.04300774      4.81260637     -0.00395692      5.03905082
    500.0000     -0.23502614      5.04300774      4.80798160     -0.00361917      5.03938856
    510.0000     -0.23965745      5.04300774      4.80335029     -0.00330350      5.03970423
    520.0000     -0.24429475      5.04300774      4.79871299     -0.00300835      5.03999939
    530.0000     -0.24893754      5.04300774      4.79407020     -0.00273227      5.04027547
    540.0000     -0.25358537      5.04300774      4.78942237     -0.00247394      5.04053379
    550.0000     -0.25823783      5.04300774      4.78476991     -0.00223213      5.04077560
    560.0000     -0.26289455      5.04300774      4.78011319     -0.00200570      5.04100203
    570.0000     -0.26755518      5.04300774      4.77545256     -0.00179360      5.04121414
    580.0000     -0.27221942      5.04300774      4.77078832     -0.00159485      5.04141289
    590.0000     -0.27688697      5.04300774      4.76612076     -0.00140854      5.04159919
    600.0000     -0.28155759      5.04300774      4.76145015     -0.00123385      5.04177388
    610.0000     -0.28623102      5.04300774      4.75677672     -0.00107000      5.04193774
    620.0000     -0.29090706      5.04300774      4.75210068     -0.00091627      5.04209147
    630.0000     -0.29558550      5.04300774      4.74742224     -0.00077199      5.04223575
    640.0000     -0.30026616      5.04300774      4.74274158     -0.00063654      5.04237120
    650.0000     -0.30494887      5.04300774      4.73805886     -0.00050935      5.04249838
    660.0000     -0.30963348      5.04300774      4.73337426     -0.00038989      5.04261784
    670.0000     -0.31431984      5.04300774      4.72868789     -0.00027767      5.04273007
    680.0000     -0.31900783      5.04300774      4.72399990     -0.00017221      5.04283553
    690.0000     -0.32369732      5.04300774      4.71931041     -0.00007310      5.04293464
    700.0000     -0.32838821      5.04300774      4.71461953      0.00002007      5.04302781
    710.0000     -0.33308038      5.04300774      4.70992735      0.00010767      5.04311540
    720.0000     -0.33777376      5.04300774      4.70523398      0.00019003      5.04319777
    730.0000     -0.34246824      5.04300774      4.70053950      0.00026749      5.04327523
    740.0000     -0.34716375      5.04300774      4.69584399      0.00034035      5.04334808
    750.0000     -0.35186022      5.04300774      4.69114752      0.00040887      5.04341661
    760.0000     -0.35655757      5.04300774      4.68645016      0.00047334      5.04348107
    770.0000     -0.36125575      5.04300774      4.68175199      0.00053398      5.04354171
    780.0000     -0.36595469      5.04300774      4.67705305      0.00059102      5.04359876
    790.0000     -0.37065434      5.04300774      4.67235340      0.00064469      5.04365243
    800.0000     -0.37535465      5.04300774      4.66765309      0.00069517      5.04370291
    810.0000     -0.38005557      5.04300774      4.66295217      0.00074267      5.04375040
    820.0000     -0.38475706      5.04300774      4.65825068      0.00078733      5.04379507
    830.0000     -0.38945908      5.04300774      4.65354866      0.00082935      5.04383708
    840.0000     -0.39416159      5.04300774      4.64884615      0.00086885      5.04387659
    850.0000     -0.39886455      5.04300774      4.64414318      0.00090599      5.04391373
    860.0000     -0.40356794      5.04300774      4.63943979      0.00094091      5.04394865
    870.0000     -0.40827173      5.04300774      4.63473601      0.00097373      5.04398146
    880.0000     -0.41297588      5.04300774      4.63003186      0.00100456      5.04401230
    890.0000     -0.41768036      5.04300774      4.62532737      0.00103352      5.04404125
    900.0000     -0.42238517      5.04300774      4.62062257      0.00106071      5.04406844
    910.0000     -0.42709026      5.04300774      4.61591747      0.00108623      5.04409397
    920.0000     -0.43179563      5.04300774      4.61121210      0.00111017      5.04411791
    930.0000     -0.43650125      5.04300774      4.60650648      0.00113262      5.04414036
