# Schottky formation heat capacity (Cv) from phonopy; factor=1.968750000000
# X_S = X_2G + X_cVac - factor * X_nodef  (X = heat_capacity)
# T[K]  dCv_vib[eV/K]  dCv_vib[J/K/mol]
      0.0000  0.00000000e+00      0.00000000
     10.0000  -4.90270159e-07     -0.04730388
     20.0000  2.51286014e-07      0.02424542
     30.0000  1.11049535e-05      1.07146517
     40.0000  3.79490203e-05      3.66152399
     50.0000  7.78541841e-05      7.51178715
     60.0000  1.23910815e-04     11.95557664
     70.0000  1.69893585e-04     16.39223975
     80.0000  2.11517182e-04     20.40830647
     90.0000  2.46346144e-04     23.76879057
    100.0000  2.73389432e-04     26.37807128
    110.0000  2.92653500e-04     28.23677143
    120.0000  3.04750366e-04     29.40394158
    130.0000  3.10599917e-04     29.96833748
    140.0000  3.11228420e-04     30.02897886
    150.0000  3.07645510e-04     29.68328054
    160.0000  3.00777279e-04     29.02059692
    170.0000  2.91435940e-04     28.11929476
    180.0000  2.80311606e-04     27.04595962
    190.0000  2.67976497e-04     25.85580249
    200.0000  2.54895457e-04     24.59367393
    210.0000  2.41439072e-04     23.29533007
    220.0000  2.27897312e-04     21.98874884
    230.0000  2.14492524e-04     20.69538336
    240.0000  2.01391195e-04     19.43129720
    250.0000  1.88714318e-04     18.20816451
    260.0000  1.76546279e-04     17.03412716
    270.0000  1.64942357e-04     15.91451877
    280.0000  1.53934981e-04     14.85246844
    290.0000  1.43538893e-04     13.84939834
    300.0000  1.33755339e-04     12.90542889
    310.0000  1.24575482e-04     12.01970727
    320.0000  1.15983101e-04     11.19066853
    330.0000  1.07956780e-04     10.41624623
    340.0000  1.00471579e-04      9.69403410
    350.0000  9.35003890e-05      9.02141649
    360.0000  8.70149232e-05      8.39566414
    370.0000  8.09865229e-05      7.81401191
    380.0000  7.53867131e-05      7.27371237
    390.0000  7.01876367e-05      6.77207774
    400.0000  6.53623621e-05      6.30650950
    410.0000  6.08850858e-05      5.87451799
    420.0000  5.67312619e-05      5.47373489
    430.0000  5.28776872e-05      5.10192144
    440.0000  4.93025198e-05      4.75697021
    450.0000  4.59853011e-05      4.43690725
    460.0000  4.29069032e-05      4.13988699
    470.0000  4.00495157e-05      3.86419099
    480.0000  3.73965769e-05      3.60822131
    490.0000  3.49327259e-05      3.37049581
    500.0000  3.26437201e-05      3.14964032
    510.0000  3.05163883e-05      2.94438399
    520.0000  2.85385531e-05      2.75355189
    530.0000  2.66989659e-05      2.57605871
    540.0000  2.49872435e-05      2.41090260
    550.0000  2.33938086e-05      2.25715949
    560.0000  2.19098226e-05      2.11397661
    570.0000  2.05271396e-05      1.98056797
    580.0000  1.92382532e-05      1.85620933
